Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
1,0,1,0,2,1,1,2,0,0,0,1,1,1,0,-4.74E-01
0,1,0,1,2,2,0,2,0,0,1,0,1,0,1,-5.09E-01
0,2,0,0,2,1,0,2,1,0,0,0,0,2,1,-4.39E-01
0,1,0,0,3,0,0,2,2,0,3,0,0,0,0,-5.76E-01
3,0,0,0,1,0,0,2,0,2,0,1,0,2,0,-4.63E-01
1,0,0,0,3,0,3,1,0,0,0,0,0,3,0,-4.51E-01
0,0,0,2,2,1,2,1,0,0,3,0,0,0,0,-5.49E-01
2,0,0,1,1,0,2,1,1,0,0,0,1,0,2,-4.62E-01
2,0,0,1,1,0,2,1,0,1,0,0,2,1,0,-4.70E-01
1,0,1,1,1,0,2,1,1,0,1,0,0,2,0,-4.79E-01
1,0,1,1,1,0,2,1,0,1,1,2,0,0,0,-5.05E-01
2,0,0,0,2,0,0,0,4,0,0,2,1,0,0,-5.15E-01
1,0,1,0,2,0,0,0,4,0,1,1,1,0,0,-5.26E-01
0,2,2,0,0,0,0,0,4,0,2,0,0,0,1,-4.81E-01
2,1,1,0,0,0,0,0,4,0,0,1,0,0,2,-4.45E-01
2,0,2,0,0,0,0,0,4,0,0,2,0,0,1,-4.62E-01
2,1,1,0,0,0,0,0,4,0,0,0,1,0,2,-4.40E-01
1,0,0,0,3,0,0,1,3,0,1,1,1,0,0,-5.56E-01
1,1,0,0,2,0,0,1,3,0,1,0,1,1,0,-5.13E-01
2,1,0,0,1,0,0,1,3,0,0,2,0,0,1,-4.76E-01
2,1,0,0,1,0,0,1,3,0,0,0,2,0,1,-4.61E-01
1,1,2,0,0,0,0,1,3,0,1,0,0,0,2,-4.70E-01
1,1,2,0,0,0,0,1,3,0,0,1,0,0,2,-4.60E-01
0,0,0,0,4,0,0,2,2,0,2,1,0,0,0,-5.91E-01
2,0,1,0,1,0,0,2,2,0,0,2,1,0,0,-4.98E-01
1,1,0,0,2,1,0,1,2,0,0,0,1,1,1,-4.71E-01
0,0,1,1,2,0,2,0,2,0,3,0,0,0,0,-5.72E-01
0,2,1,1,0,1,1,0,2,0,1,0,1,0,1,-4.68E-01
2,0,0,1,1,1,0,0,2,1,0,1,1,0,1,-4.99E-01
0,0,1,0,3,0,1,2,1,0,3,0,0,0,0,-5.77E-01
0,1,1,0,2,1,0,2,1,0,0,1,1,1,0,-4.89E-01
0,0,2,0,2,1,0,2,1,0,1,1,0,1,0,-5.09E-01
1,0,0,1,2,0,0,2,1,1,0,2,0,1,0,-5.38E-01
1,0,0,1,2,0,0,2,1,1,0,3,0,0,0,-5.46E-01
2,0,1,0,1,0,0,2,1,1,1,2,0,0,0,-5.23E-01
2,1,1,0,0,0,0,0,0,4,0,1,1,1,0,-4.68E-01
1,0,1,2,0,0,0,0,0,4,1,1,1,0,0,-5.39E-01
0,2,1,1,0,0,0,0,0,4,2,0,0,1,0,-5.03E-01
0,2,0,2,0,0,0,0,0,4,2,0,1,0,0,-5.32E-01
0,1,2,1,0,0,0,0,0,4,2,1,0,0,0,-5.32E-01
0,1,1,2,0,0,0,0,0,4,2,0,1,0,0,-5.39E-01
1,2,0,0,1,0,0,0,1,3,1,0,1,1,0,-4.88E-01
1,1,1,0,1,0,0,0,1,3,1,0,1,1,0,-4.88E-01
1,0,1,1,1,0,0,0,1,3,0,2,1,0,0,-5.22E-01
0,2,1,0,1,0,0,0,1,3,2,0,1,0,0,-5.15E-01
0,0,2,1,1,0,0,0,1,3,1,2,0,0,0,-5.48E-01
3,1,0,0,0,0,0,0,1,3,0,1,1,1,0,-4.53E-01
0,2,2,0,0,0,0,0,2,2,3,0,0,0,0,-5.23E-01
0,3,1,0,0,0,0,0,2,2,1,0,1,0,1,-4.65E-01
0,2,2,0,0,0,0,0,2,2,1,1,0,0,1,-4.74E-01
1,1,0,1,1,0,1,0,1,2,1,0,2,0,0,-5.16E-01
1,2,0,0,1,0,1,0,1,2,1,0,1,1,0,-4.84E-01
0,1,1,1,1,1,0,0,1,2,0,2,1,0,0,-5.06E-01
0,1,1,1,1,0,0,1,2,1,2,0,0,0,1,-5.21E-01
0,3,0,0,1,0,0,1,2,1,1,0,1,1,0,-4.78E-01
1,1,1,0,1,0,1,0,2,1,2,0,1,0,0,-5.01E-01
1,1,1,0,1,0,1,0,2,1,1,0,2,0,0,-4.76E-01
0,3,0,0,1,1,0,0,2,1,0,0,2,0,1,-4.52E-01
2,0,0,1,1,0,1,1,1,1,0,1,2,0,0,-5.02E-01
0,2,2,0,0,0,0,0,1,3,3,0,0,0,0,-5.24E-01
1,2,1,0,0,0,0,0,2,2,3,0,0,0,0,-5.29E-01
1,1,2,0,0,0,0,0,2,2,3,0,0,0,0,-5.38E-01
0,1,1,1,1,0,0,1,1,2,3,0,0,0,0,-5.56E-01
0,0,2,1,1,0,1,0,0,3,2,1,0,0,0,-5.49E-01
1,1,0,2,0,0,1,0,0,3,2,0,1,0,0,-5.36E-01
1,0,2,1,0,0,1,0,0,3,2,1,0,0,0,-5.22E-01
0,3,0,1,0,1,0,0,0,3,2,0,1,0,0,-5.08E-01
0,1,1,1,1,0,0,0,2,2,2,0,1,0,0,-5.34E-01
1,0,1,2,0,0,1,0,0,3,1,1,0,1,0,-5.12E-01
1,0,1,2,0,0,1,0,0,3,1,0,1,1,0,-5.05E-01
1,0,0,3,0,0,1,0,0,3,1,1,1,0,0,-5.41E-01
0,0,1,3,0,0,1,0,0,3,1,0,2,0,0,-5.35E-01
0,2,1,0,1,1,0,0,0,3,1,0,1,1,0,-4.73E-01
3,0,1,0,0,0,0,0,1,3,0,3,0,0,0,-4.70E-01
1,0,0,3,0,0,0,1,0,3,0,3,0,0,0,-5.29E-01
0,0,2,2,0,1,0,0,0,3,0,3,0,0,0,-5.25E-01
2,0,1,0,1,0,0,1,1,2,0,3,0,0,0,-5.01E-01
1,1,1,1,0,1,0,0,1,2,1,2,0,0,0,-5.08E-01
1,0,3,0,0,1,0,0,1,2,1,2,0,0,0,-5.06E-01
2,0,2,0,0,0,1,0,2,1,1,2,0,0,0,-4.83E-01
2,0,1,1,0,0,1,0,2,1,1,2,0,0,0,-4.94E-01
0,0,2,1,1,1,0,0,2,1,1,2,0,0,0,-5.39E-01
1,1,1,0,1,1,0,1,2,0,2,1,0,0,0,-5.21E-01
1,0,2,1,0,1,0,0,1,2,0,1,1,0,1,-4.74E-01
1,0,2,1,0,1,0,0,1,2,0,1,0,1,1,-4.69E-01
1,0,1,1,1,0,1,1,0,2,0,1,0,2,0,-4.92E-01
1,0,0,2,1,0,1,1,0,2,0,1,2,0,0,-5.22E-01
2,2,0,0,0,0,0,0,1,3,0,0,3,0,0,-4.58E-01
0,3,0,1,0,1,0,0,2,1,0,0,3,0,0,-4.70E-01
0,2,0,2,0,1,1,0,1,1,0,0,3,0,0,-4.81E-01
0,0,0,3,1,3,1,0,0,0,0,0,3,0,0,-4.75E-01
2,1,1,0,0,0,1,0,1,2,0,1,2,0,0,-4.78E-01
2,2,0,0,0,0,0,0,3,1,1,0,2,0,0,-4.83E-01
2,1,1,0,0,0,1,1,0,2,0,0,2,1,0,-4.43E-01
2,0,0,2,0,1,1,0,0,2,0,0,2,0,1,-4.83E-01
1,1,0,2,0,1,1,0,0,2,0,0,2,0,1,-4.87E-01
1,0,0,2,1,0,0,2,0,2,1,1,1,0,0,-5.58E-01
0,1,1,0,2,1,0,0,1,2,0,1,1,1,0,-4.97E-01
2,0,1,0,1,1,0,0,2,1,0,1,1,0,1,-4.66E-01
0,1,0,2,1,1,1,0,1,1,0,1,1,0,1,-4.88E-01
0,1,2,1,0,2,0,1,0,1,0,1,1,1,0,-4.62E-01
2,2,0,0,0,0,0,1,0,3,0,0,0,3,0,-4.12E-01
2,0,0,0,2,0,1,2,1,0,0,0,0,3,0,-4.49E-01
1,0,1,0,2,1,1,1,1,0,0,0,0,3,0,-4.42E-01
0,0,3,0,1,3,1,0,0,0,0,0,0,3,0,-3.98E-01
1,1,2,0,0,0,1,0,1,2,0,0,1,2,0,-4.31E-01
1,1,1,0,1,2,0,0,1,1,0,1,0,2,0,-4.49E-01
1,1,1,1,0,0,1,0,1,2,1,0,0,2,0,-4.64E-01
3,0,1,0,0,0,1,1,1,1,0,0,0,2,1,-4.06E-01
2,1,1,0,0,0,1,1,1,1,0,0,0,2,1,-4.19E-01
