Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
1,1,0,1,1,0,1,3,0,0,1,1,0,1,0,-4.25E-01
1,0,0,0,3,0,2,2,0,0,2,0,0,1,0,-4.72E-01
1,0,1,0,2,1,1,2,0,0,0,1,1,1,0,-4.30E-01
0,1,0,1,2,2,0,2,0,0,1,0,1,0,1,-4.33E-01
0,2,0,0,2,1,0,2,1,0,0,0,0,2,1,-3.86E-01
0,1,0,0,3,0,0,2,2,0,3,0,0,0,0,-5.09E-01
3,0,0,0,1,0,0,2,0,2,0,1,0,2,0,-4.03E-01
1,0,0,0,3,0,3,1,0,0,0,0,0,3,0,-4.02E-01
0,0,0,2,2,1,2,1,0,0,3,0,0,0,0,-4.79E-01
2,0,0,1,1,0,2,1,1,0,0,0,1,0,2,-3.95E-01
2,0,0,1,1,0,2,1,0,1,0,0,2,1,0,-4.01E-01
1,0,1,1,1,0,2,1,1,0,1,0,0,2,0,-4.22E-01
1,0,1,1,1,0,2,1,0,1,1,2,0,0,0,-4.51E-01
2,0,0,0,2,0,0,0,4,0,0,2,1,0,0,-4.54E-01
1,0,1,0,2,0,0,0,4,0,1,1,1,0,0,-4.80E-01
0,2,2,0,0,0,0,0,4,0,2,0,0,0,1,-4.21E-01
2,1,1,0,0,0,0,0,4,0,0,1,0,0,2,-3.74E-01
2,0,2,0,0,0,0,0,4,0,0,2,0,0,1,-4.07E-01
2,1,1,0,0,0,0,0,4,0,0,0,1,0,2,-3.77E-01
1,0,0,0,3,0,0,1,3,0,1,1,1,0,0,-4.88E-01
1,1,0,0,2,0,0,1,3,0,1,0,1,1,0,-4.47E-01
2,1,0,0,1,0,0,1,3,0,0,2,0,0,1,-4.04E-01
2,1,0,0,1,0,0,1,3,0,0,0,2,0,1,-3.97E-01
1,1,2,0,0,0,0,1,3,0,1,0,0,0,2,-4.07E-01
1,1,2,0,0,0,0,1,3,0,0,1,0,0,2,-4.01E-01
0,0,0,0,4,0,0,2,2,0,2,1,0,0,0,-5.26E-01
2,0,1,0,1,0,0,2,2,0,0,2,1,0,0,-4.49E-01
1,1,0,0,2,1,0,1,2,0,0,0,1,1,1,-4.06E-01
0,0,1,1,2,0,2,0,2,0,3,0,0,0,0,-4.99E-01
0,2,1,1,0,1,1,0,2,0,1,0,1,0,1,-3.95E-01
2,0,0,1,1,1,0,0,2,1,0,1,1,0,1,-4.21E-01
0,0,1,0,3,0,1,2,1,0,3,0,0,0,0,-5.13E-01
0,1,1,0,2,1,0,2,1,0,0,1,1,1,0,-4.32E-01
0,0,2,0,2,1,0,2,1,0,1,1,0,1,0,-4.58E-01
1,0,0,1,2,0,0,2,1,1,0,2,0,1,0,-4.59E-01
1,0,0,1,2,0,0,2,1,1,0,3,0,0,0,-4.68E-01
2,0,1,0,1,0,0,2,1,1,1,2,0,0,0,-4.70E-01
2,1,1,0,0,0,0,0,0,4,0,1,1,1,0,-3.92E-01
1,0,1,2,0,0,0,0,0,4,1,1,1,0,0,-4.57E-01
0,2,1,1,0,0,0,0,0,4,2,0,0,1,0,-4.27E-01
0,2,0,2,0,0,0,0,0,4,2,0,1,0,0,-4.35E-01
0,1,2,1,0,0,0,0,0,4,2,1,0,0,0,-4.72E-01
0,1,1,2,0,0,0,0,0,4,2,0,1,0,0,-4.59E-01
1,2,0,0,1,0,0,0,1,3,1,0,1,1,0,-4.16E-01
1,1,1,0,1,0,0,0,1,3,1,0,1,1,0,-4.37E-01
1,0,1,1,1,0,0,0,1,3,0,2,1,0,0,-4.61E-01
0,2,1,0,1,0,0,0,1,3,2,0,1,0,0,-4.64E-01
0,0,2,1,1,0,0,0,1,3,1,2,0,0,0,-4.87E-01
3,1,0,0,0,0,0,0,1,3,0,1,1,1,0,-3.69E-01
0,2,2,0,0,0,0,0,2,2,3,0,0,0,0,-4.69E-01
0,3,1,0,0,0,0,0,2,2,1,0,1,0,1,-3.92E-01
0,2,2,0,0,0,0,0,2,2,1,1,0,0,1,-4.11E-01
1,1,0,1,1,0,1,0,1,2,1,0,2,0,0,-4.40E-01
1,2,0,0,1,0,1,0,1,2,1,0,1,1,0,-4.14E-01
0,1,1,1,1,1,0,0,1,2,0,2,1,0,0,-4.42E-01
0,1,1,1,1,0,0,1,2,1,2,0,0,0,1,-4.61E-01
0,3,0,0,1,0,0,1,2,1,1,0,1,1,0,-4.08E-01
1,1,1,0,1,0,1,0,2,1,2,0,1,0,0,-4.52E-01
1,1,1,0,1,0,1,0,2,1,1,0,2,0,0,-4.32E-01
0,3,0,0,1,1,0,0,2,1,0,0,2,0,1,-3.91E-01
2,0,0,1,1,0,1,1,1,1,0,1,2,0,0,-4.24E-01
0,2,2,0,0,0,0,0,1,3,3,0,0,0,0,-4.70E-01
1,2,1,0,0,0,0,0,2,2,3,0,0,0,0,-4.50E-01
1,1,2,0,0,0,0,0,2,2,3,0,0,0,0,-4.79E-01
0,1,1,1,1,0,0,1,1,2,3,0,0,0,0,-4.96E-01
0,0,2,1,1,0,1,0,0,3,2,1,0,0,0,-4.92E-01
1,1,0,2,0,0,1,0,0,3,2,0,1,0,0,-4.36E-01
1,0,2,1,0,0,1,0,0,3,2,1,0,0,0,-4.68E-01
0,3,0,1,0,1,0,0,0,3,2,0,1,0,0,-4.15E-01
0,1,1,1,1,0,0,0,2,2,2,0,1,0,0,-4.77E-01
1,0,1,2,0,0,1,0,0,3,1,1,0,1,0,-4.30E-01
1,0,1,2,0,0,1,0,0,3,1,0,1,1,0,-4.23E-01
1,0,0,3,0,0,1,0,0,3,1,1,1,0,0,-4.37E-01
0,0,1,3,0,0,1,0,0,3,1,0,2,0,0,-4.32E-01
0,2,1,0,1,1,0,0,0,3,1,0,1,1,0,-4.25E-01
3,0,1,0,0,0,0,0,1,3,0,3,0,0,0,-4.09E-01
1,0,0,3,0,0,0,1,0,3,0,3,0,0,0,-4.27E-01
0,0,2,2,0,1,0,0,0,3,0,3,0,0,0,-4.44E-01
2,0,1,0,1,0,0,1,1,2,0,3,0,0,0,-4.48E-01
1,1,1,1,0,1,0,0,1,2,1,2,0,0,0,-4.30E-01
1,0,3,0,0,1,0,0,1,2,1,2,0,0,0,-4.62E-01
2,0,2,0,0,0,1,0,2,1,1,2,0,0,0,-4.30E-01
2,0,1,1,0,0,1,0,2,1,1,2,0,0,0,-4.26E-01
0,0,2,1,1,1,0,0,2,1,1,2,0,0,0,-4.78E-01
1,1,1,0,1,1,0,1,2,0,2,1,0,0,0,-4.66E-01
1,0,2,1,0,1,0,0,1,2,0,1,1,0,1,-4.20E-01
1,0,2,1,0,1,0,0,1,2,0,1,0,1,1,-4.12E-01
1,0,1,1,1,0,1,1,0,2,0,1,0,2,0,-4.20E-01
1,0,0,2,1,0,1,1,0,2,0,1,2,0,0,-4.36E-01
2,2,0,0,0,0,0,0,1,3,0,0,3,0,0,-3.76E-01
0,3,0,1,0,1,0,0,2,1,0,0,3,0,0,-3.86E-01
0,2,0,2,0,1,1,0,1,1,0,0,3,0,0,-3.89E-01
0,0,0,3,1,3,1,0,0,0,0,0,3,0,0,-4.00E-01
2,1,1,0,0,0,1,0,1,2,0,1,2,0,0,-4.00E-01
2,2,0,0,0,0,0,0,3,1,1,0,2,0,0,-3.92E-01
2,1,1,0,0,0,1,1,0,2,0,0,2,1,0,-3.68E-01
2,0,0,2,0,1,1,0,0,2,0,0,2,0,1,-3.88E-01
1,1,0,2,0,1,1,0,0,2,0,0,2,0,1,-3.87E-01
1,0,0,2,1,0,0,2,0,2,1,1,1,0,0,-4.69E-01
0,1,1,0,2,1,0,0,1,2,0,1,1,1,0,-4.43E-01
2,0,1,0,1,1,0,0,2,1,0,1,1,0,1,-4.22E-01
0,1,0,2,1,1,1,0,1,1,0,1,1,0,1,-4.07E-01
0,1,2,1,0,2,0,1,0,1,0,1,1,1,0,-4.03E-01
2,2,0,0,0,0,0,1,0,3,0,0,0,3,0,-3.30E-01
2,0,0,0,2,0,1,2,1,0,0,0,0,3,0,-3.92E-01
1,0,1,0,2,1,1,1,1,0,0,0,0,3,0,-4.00E-01
0,0,3,0,1,3,1,0,0,0,0,0,0,3,0,-3.73E-01
1,1,2,0,0,0,1,0,1,2,0,0,1,2,0,-3.78E-01
1,1,1,0,1,2,0,0,1,1,0,1,0,2,0,-3.99E-01
1,1,1,1,0,0,1,0,1,2,1,0,0,2,0,-3.94E-01
3,0,1,0,0,0,1,1,1,1,0,0,0,2,1,-3.49E-01
2,1,1,0,0,0,1,1,1,1,0,0,0,2,1,-3.49E-01
1,2,0,1,0,1,0,2,0,1,0,0,2,1,0,-3.72E-01
1,2,1,0,0,0,0,1,1,2,0,1,1,1,0,-3.92E-01
0,3,1,0,0,0,1,0,1,2,1,0,1,1,0,-3.86E-01
2,2,0,0,0,0,1,1,0,2,1,0,1,1,0,-3.72E-01
3,1,0,0,0,0,1,2,0,1,0,0,1,1,1,-3.47E-01
1,2,1,0,0,0,0,1,2,1,0,0,0,0,3,-3.64E-01
2,1,1,0,0,0,1,1,1,1,0,0,0,0,3,-3.57E-01
1,2,1,0,0,1,0,2,1,0,0,0,0,0,3,-3.57E-01
0,1,0,3,0,3,0,1,0,0,0,0,0,0,3,-3.70E-01
