Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,bond
0,3,0,1,0,1,0,0,2,1,0,0,3,0,0,140.606
0,2,0,2,0,1,1,0,1,1,0,0,3,0,0,141.193
0,0,0,3,1,3,1,0,0,0,0,0,3,0,0,140.114
2,1,1,0,0,0,1,0,1,2,0,1,2,0,0,142.386
2,2,0,0,0,0,0,0,3,1,1,0,2,0,0,141.283
2,1,1,0,0,0,1,1,0,2,0,0,2,1,0,143.046
2,0,0,2,0,1,1,0,0,2,0,0,2,0,1,141.571
1,1,0,2,0,1,1,0,0,2,0,0,2,0,1,141.654
1,0,0,2,1,0,0,2,0,2,1,1,1,0,0,142.248
0,1,1,0,2,1,0,0,1,2,0,1,1,1,0,141.53
2,0,1,0,1,1,0,0,2,1,0,1,1,0,1,141.548
0,1,0,2,1,1,1,0,1,1,0,1,1,0,1,142.114
0,1,2,1,0,2,0,1,0,1,0,1,1,1,0,141.024
2,2,0,0,0,0,0,1,0,3,0,0,0,3,0,142.329
2,0,0,0,2,0,1,2,1,0,0,0,0,3,0,141.763
1,0,1,0,2,1,1,1,1,0,0,0,0,3,0,142.949
0,0,3,0,1,3,1,0,0,0,0,0,0,3,0,140.13
1,1,2,0,0,0,1,0,1,2,0,0,1,2,0,142.826
1,1,1,0,1,2,0,0,1,1,0,1,0,2,0,141.29
1,1,1,1,0,0,1,0,1,2,1,0,0,2,0,141.968
3,0,1,0,0,0,1,1,1,1,0,0,0,2,1,142.437
2,1,1,0,0,0,1,1,1,1,0,0,0,2,1,142.528
1,2,0,1,0,1,0,2,0,1,0,0,2,1,0,142.367
1,2,1,0,0,0,0,1,1,2,0,1,1,1,0,142.299
0,3,1,0,0,0,1,0,1,2,1,0,1,1,0,142.109
2,2,0,0,0,0,1,1,0,2,1,0,1,1,0,141.599
3,1,0,0,0,0,1,2,0,1,0,0,1,1,1,141.626
1,2,1,0,0,0,0,1,2,1,0,0,0,0,3,142.278
2,1,1,0,0,0,1,1,1,1,0,0,0,0,3,142.402
1,2,1,0,0,1,0,2,1,0,0,0,0,0,3,142.761
0,1,0,3,0,3,0,1,0,0,0,0,0,0,3,142
1,2,1,0,0,0,1,1,1,1,0,0,0,1,2,142.461
1,0,0,2,1,0,2,1,0,1,0,0,1,0,2,142.647
