Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
1,0,1,0,2,1,1,2,0,0,0,1,1,1,0,-0.9066826
0,1,0,1,2,2,0,2,0,0,1,0,1,0,1,-0.5344426
0,2,0,0,2,1,0,2,1,0,0,0,0,2,1,-1.3137526
0,1,0,0,3,0,0,2,2,0,3,0,0,0,0,-0.3509426
3,0,0,0,1,0,0,2,0,2,0,1,0,2,0,-1.4166226
1,0,0,0,3,0,3,1,0,0,0,0,0,3,0,-1.0159226
0,0,0,2,2,1,2,1,0,0,3,0,0,0,0,-0.6420126
2,0,0,1,1,0,2,1,1,0,0,0,1,0,2,-1.1411526
2,0,0,1,1,0,2,1,0,1,0,0,2,1,0,-1.1594926
1,0,1,1,1,0,2,1,1,0,1,0,0,2,0,-0.9213426
1,0,1,1,1,0,2,1,0,1,1,2,0,0,0,-0.8899126
2,0,0,0,2,0,0,0,4,0,0,2,1,0,0,-1.1675626
1,0,1,0,2,0,0,0,4,0,1,1,1,0,0,-0.7008926
0,2,2,0,0,0,0,0,4,0,2,0,0,0,1,-1.5661526
2,1,1,0,0,0,0,0,4,0,0,1,0,0,2,-1.7815026
2,0,2,0,0,0,0,0,4,0,0,2,0,0,1,-1.6531226
2,1,1,0,0,0,0,0,4,0,0,0,1,0,2,-1.6928726
1,0,0,0,3,0,0,1,3,0,1,1,1,0,0,-0.4696326
1,1,0,0,2,0,0,1,3,0,1,0,1,1,0,-1.0957526
2,1,0,0,1,0,0,1,3,0,0,2,0,0,1,-1.6159926
2,1,0,0,1,0,0,1,3,0,0,0,2,0,1,-1.3696826
1,1,2,0,0,0,0,1,3,0,1,0,0,0,2,-1.4330726
1,1,2,0,0,0,0,1,3,0,0,1,0,0,2,-1.4992926
0,0,0,0,4,0,0,2,2,0,2,1,0,0,0,-0.1622826
2,0,1,0,1,0,0,2,2,0,0,2,1,0,0,-1.0694826
1,1,0,0,2,1,0,1,2,0,0,0,1,1,1,-1.1763326
0,0,1,1,2,0,2,0,2,0,3,0,0,0,0,-0.7193326
0,2,1,1,0,1,1,0,2,0,1,0,1,0,1,-1.3368126
2,0,0,1,1,1,0,0,2,1,0,1,1,0,1,-1.1608726
0,0,1,0,3,0,1,2,1,0,3,0,0,0,0,-0.4496826
0,1,1,0,2,1,0,2,1,0,0,1,1,1,0,-0.6809926
0,0,2,0,2,1,0,2,1,0,1,1,0,1,0,-0.7223626
1,0,0,1,2,0,0,2,1,1,0,2,0,1,0,-0.6370926
1,0,0,1,2,0,0,2,1,1,0,3,0,0,0,-0.6539326
2,0,1,0,1,0,0,2,1,1,1,2,0,0,0,-1.0461026
2,1,1,0,0,0,0,0,0,4,0,1,1,1,0,-1.6150226
1,0,1,2,0,0,0,0,0,4,1,1,1,0,0,-0.6946226
0,2,1,1,0,0,0,0,0,4,2,0,0,1,0,-1.3110326
0,2,0,2,0,0,0,0,0,4,2,0,1,0,0,-1.0796626
0,1,2,1,0,0,0,0,0,4,2,1,0,0,0,-0.6487726
0,1,1,2,0,0,0,0,0,4,2,0,1,0,0,-0.6452726
1,2,0,0,1,0,0,0,1,3,1,0,1,1,0,-1.4455526
1,1,1,0,1,0,0,0,1,3,1,0,1,1,0,-1.3264726
1,0,1,1,1,0,0,0,1,3,0,2,1,0,0,-0.8515926
0,2,1,0,1,0,0,0,1,3,2,0,1,0,0,-1.1712026
0,0,2,1,1,0,0,0,1,3,1,2,0,0,0,-0.7859426
3,1,0,0,0,0,0,0,1,3,0,1,1,1,0,-1.7688526
0,2,2,0,0,0,0,0,2,2,3,0,0,0,0,-1.3447526
0,3,1,0,0,0,0,0,2,2,1,0,1,0,1,-1.5371526
0,2,2,0,0,0,0,0,2,2,1,1,0,0,1,-1.5392126
1,1,0,1,1,0,1,0,1,2,1,0,2,0,0,-0.9965326
1,2,0,0,1,0,1,0,1,2,1,0,1,1,0,-1.3767826
0,1,1,1,1,1,0,0,1,2,0,2,1,0,0,-0.8354126
0,1,1,1,1,0,0,1,2,1,2,0,0,0,1,-0.6882326
0,3,0,0,1,0,0,1,2,1,1,0,1,1,0,-1.3454226
1,1,1,0,1,0,1,0,2,1,2,0,1,0,0,-1.3363926
1,1,1,0,1,0,1,0,2,1,1,0,2,0,0,-1.3276326
0,3,0,0,1,1,0,0,2,1,0,0,2,0,1,-1.4787726
2,0,0,1,1,0,1,1,1,1,0,1,2,0,0,-1.0557626
0,2,2,0,0,0,0,0,1,3,3,0,0,0,0,-1.3483526
1,2,1,0,0,0,0,0,2,2,3,0,0,0,0,-1.5935026
1,1,2,0,0,0,0,0,2,2,3,0,0,0,0,-1.3736426
0,1,1,1,1,0,0,1,1,2,3,0,0,0,0,-0.5184326
0,0,2,1,1,0,1,0,0,3,2,1,0,0,0,-0.8488326
1,1,0,2,0,0,1,0,0,3,2,0,1,0,0,-1.0472126
1,0,2,1,0,0,1,0,0,3,2,1,0,0,0,-0.7823726
0,3,0,1,0,1,0,0,0,3,2,0,1,0,0,-1.3056726
0,1,1,1,1,0,0,0,2,2,2,0,1,0,0,-0.6445126
1,0,1,2,0,0,1,0,0,3,1,1,0,1,0,-0.9798626
1,0,1,2,0,0,1,0,0,3,1,0,1,1,0,-0.7748426
1,0,0,3,0,0,1,0,0,3,1,1,1,0,0,-0.6782026
0,0,1,3,0,0,1,0,0,3,1,0,2,0,0,-0.4668926
0,2,1,0,1,1,0,0,0,3,1,0,1,1,0,-1.3371226
3,0,1,0,0,0,0,0,1,3,0,3,0,0,0,-1.7639626
1,0,0,3,0,0,0,1,0,3,0,3,0,0,0,-0.8225626
0,0,2,2,0,1,0,0,0,3,0,3,0,0,0,-0.8896026
2,0,1,0,1,0,0,1,1,2,0,3,0,0,0,-1.3105926
1,1,1,1,0,1,0,0,1,2,1,2,0,0,0,-1.3014026
1,0,3,0,0,1,0,0,1,2,1,2,0,0,0,-1.0340626
2,0,2,0,0,0,1,0,2,1,1,2,0,0,0,-1.6184026
2,0,1,1,0,0,1,0,2,1,1,2,0,0,0,-1.2748526
