Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
2,1,0,0,1,0,1,2,0,1,0,1,0,2,0,-0.170958
2,0,1,0,1,0,1,1,2,0,1,0,1,0,1,-0.200408
2,0,1,0,1,0,1,1,2,0,1,0,0,1,1,-0.201948
1,1,0,1,1,0,0,1,1,2,1,1,1,0,0,-0.167168
1,0,2,0,1,2,1,0,1,0,0,1,0,1,1,-0.208028
0,1,1,0,2,4,0,0,0,0,0,1,1,1,0,-0.204868
0,2,0,1,1,4,0,0,0,0,0,0,2,1,0,-0.170938
0,2,2,0,0,4,0,0,0,0,0,0,0,2,1,-0.196878
0,0,2,2,0,4,0,0,0,0,0,1,0,0,2,-0.184978
0,0,2,0,2,4,0,0,0,0,0,2,0,1,0,-0.205518
0,0,1,1,2,4,0,0,0,0,0,2,1,0,0,-0.187228
0,1,0,0,3,3,0,0,1,0,0,1,1,1,0,-0.214348
0,0,1,0,3,3,1,0,0,0,0,1,1,1,0,-0.204068
0,1,0,0,3,3,0,0,1,0,0,1,2,0,0,-0.215678
0,1,0,0,3,3,0,0,1,0,0,0,2,1,0,-0.213148
1,0,1,0,2,3,0,0,1,0,0,2,0,1,0,-0.200868
1,0,0,1,2,3,1,0,0,0,0,1,2,0,0,-0.185028
1,0,0,1,2,2,1,1,0,0,0,2,0,1,0,-0.186088
1,0,0,1,2,2,0,2,0,0,0,2,1,0,0,-0.186878
1,0,0,1,2,2,0,2,0,0,0,1,0,2,0,-0.182278
1,0,1,1,1,2,0,1,1,0,0,2,0,1,0,-0.176758
1,0,1,1,1,2,0,1,1,0,0,1,0,0,2,-0.177818
1,1,1,0,1,2,1,0,1,0,1,0,1,1,0,-0.186018
1,1,0,0,2,1,1,1,1,0,0,0,1,2,0,-0.182608
1,1,0,0,2,1,1,0,2,0,0,0,2,1,0,-0.185958
2,0,0,1,1,1,0,2,1,0,0,2,1,0,0,-0.165158
2,0,0,1,1,1,0,2,0,1,0,2,1,0,0,-0.165418
1,0,0,2,1,1,2,1,0,0,1,0,1,0,1,-0.161108
1,0,0,2,1,1,2,1,0,0,0,1,1,0,1,-0.163688
2,0,0,0,2,0,4,0,0,0,0,0,2,1,0,-0.195288
1,0,1,0,2,0,4,0,0,0,1,0,1,1,0,-0.202338
0,0,2,0,2,0,4,0,0,0,2,0,0,1,0,-0.207898
0,0,0,2,2,0,4,0,0,0,1,0,2,0,0,-0.202538
1,0,2,1,0,0,4,0,0,0,0,0,0,1,2,-0.220898
1,0,1,2,0,0,4,0,0,0,0,0,1,0,2,-0.189918
1,0,0,0,3,1,3,0,0,0,0,0,2,1,0,-0.205978
0,0,1,2,1,1,3,0,0,0,0,0,1,0,2,-0.163468
1,0,1,2,0,1,3,0,0,0,0,0,1,0,2,-0.189648
1,0,3,0,0,1,3,0,0,0,0,0,0,2,1,-0.210188
2,0,1,0,1,0,3,1,0,0,1,0,0,1,1,-0.196388
2,0,1,0,1,0,3,1,0,0,0,0,1,1,1,-0.197408
0,0,1,0,3,2,2,0,0,0,0,0,0,2,1,-0.211158
1,1,0,0,2,1,2,1,0,0,0,0,0,2,1,-0.189568
1,0,0,1,2,0,2,2,0,0,0,0,0,2,1,-0.185018
1,0,0,1,2,0,2,1,1,0,2,0,0,0,1,-0.189328
1,1,0,0,2,0,2,0,2,0,1,0,1,1,0,-0.189488
1,0,1,0,2,0,2,0,2,0,0,1,1,1,0,-0.200488
1,0,0,1,2,2,1,1,0,0,1,1,1,0,0,-0.186558
1,0,0,1,2,2,1,1,0,0,1,1,0,1,0,-0.185408
0,2,1,0,1,2,1,0,1,0,0,0,1,2,0,-0.198388
0,2,1,0,1,2,1,0,1,0,0,0,1,0,2,-0.199788
0,0,3,0,1,2,1,1,0,0,0,1,0,2,0,-0.208538
0,0,2,1,1,2,1,0,1,0,2,1,0,0,0,-0.186618
2,0,0,0,2,0,0,4,0,0,0,2,0,1,0,-0.192368
2,1,0,0,1,0,0,4,0,0,0,1,0,2,0,-0.173178
0,2,0,2,0,0,0,4,0,0,1,0,0,0,2,-0.177138
2,1,0,1,0,0,0,4,0,0,0,1,0,0,2,-0.187198
2,0,0,2,0,0,0,4,0,0,0,2,0,0,1,-0.175658
0,1,0,2,1,0,0,4,0,0,2,1,0,0,0,-0.175848
0,0,0,2,2,0,1,3,0,0,1,1,1,0,0,-0.205748
0,1,1,0,2,0,1,3,0,0,1,0,0,2,0,-0.202068
2,0,0,1,1,0,1,3,0,0,1,0,0,2,0,-0.161678
2,0,0,1,1,0,1,3,0,0,1,0,0,0,2,-0.165378
1,2,0,0,1,0,1,3,0,0,1,0,0,1,1,-0.169328
1,1,0,1,1,0,1,3,0,0,1,1,0,1,0,-0.160438
1,0,0,0,3,0,2,2,0,0,2,0,0,1,0,-0.207218
1,0,1,0,2,1,1,2,0,0,0,1,1,1,0,-0.199618
0,1,0,1,2,2,0,2,0,0,1,0,1,0,1,-0.193778
0,2,0,0,2,1,0,2,1,0,0,0,0,2,1,-0.195898
0,1,0,0,3,0,0,2,2,0,3,0,0,0,0,-0.221018
3,0,0,0,1,0,0,2,0,2,0,1,0,2,0,-0.186528
1,0,0,0,3,0,3,1,0,0,0,0,0,3,0,-0.206328
0,0,0,2,2,1,2,1,0,0,3,0,0,0,0,-0.201198
2,0,0,1,1,0,2,1,1,0,0,0,1,0,2,-0.171568
2,0,0,1,1,0,2,1,0,1,0,0,2,1,0,-0.164298
1,0,1,1,1,0,2,1,1,0,1,0,0,2,0,-0.175558
1,0,1,1,1,0,2,1,0,1,1,2,0,0,0,-0.183288
