Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
0,0,0,2,2,2,0,2,0,0,0,3,0,0,0,-3.043567
2,1,0,0,1,0,1,2,0,1,1,0,0,2,0,-3.143247
2,1,0,0,1,0,1,2,0,1,0,1,0,2,0,-3.205327
2,0,1,0,1,0,1,1,2,0,1,0,1,0,1,-3.430117
2,0,1,0,1,0,1,1,2,0,1,0,0,1,1,-3.397147
1,1,0,1,1,0,0,1,1,2,1,1,1,0,0,-3.140487
1,0,2,0,1,2,1,0,1,0,0,1,0,1,1,-3.437367
0,1,1,0,2,4,0,0,0,0,0,1,1,1,0,-3.113867
0,2,0,1,1,4,0,0,0,0,0,0,2,1,0,-3.217017
0,2,2,0,0,4,0,0,0,0,0,0,0,2,1,-3.320337
0,0,2,2,0,4,0,0,0,0,0,1,0,0,2,-3.093057
0,0,2,0,2,4,0,0,0,0,0,2,0,1,0,-3.055677
0,0,1,1,2,4,0,0,0,0,0,2,1,0,0,-3.037407
0,1,0,0,3,3,0,0,1,0,0,1,1,1,0,-3.074147
0,0,1,0,3,3,1,0,0,0,0,1,1,1,0,-3.079877
0,1,0,0,3,3,0,0,1,0,0,1,2,0,0,-3.077237
0,1,0,0,3,3,0,0,1,0,0,0,2,1,0,-3.085727
1,0,1,0,2,3,0,0,1,0,0,2,0,1,0,-3.059797
1,0,0,1,2,3,1,0,0,0,0,1,2,0,0,-3.071167
1,0,0,1,2,2,1,1,0,0,0,2,0,1,0,-3.061677
1,0,0,1,2,2,0,2,0,0,0,2,1,0,0,-3.049957
1,0,0,1,2,2,0,2,0,0,0,1,0,2,0,-3.058597
1,0,1,1,1,2,0,1,1,0,0,2,0,1,0,-3.160377
1,0,1,1,1,2,0,1,1,0,0,1,0,0,2,-3.180657
1,1,1,0,1,2,1,0,1,0,1,0,1,1,0,-3.484617
1,1,0,0,2,1,1,1,1,0,0,0,1,2,0,-3.072007
1,1,0,0,2,1,1,0,2,0,0,0,2,1,0,-3.066357
2,0,0,1,1,1,0,2,1,0,0,2,1,0,0,-3.150237
2,0,0,1,1,1,0,2,0,1,0,2,1,0,0,-3.150897
1,0,0,2,1,1,2,1,0,0,1,0,1,0,1,-3.164757
1,0,0,2,1,1,2,1,0,0,0,1,1,0,1,-3.159477
2,0,0,0,2,0,4,0,0,0,0,0,2,1,0,-3.143147
1,0,1,0,2,0,4,0,0,0,1,0,1,1,0,-3.095387
0,0,2,0,2,0,4,0,0,0,2,0,0,1,0,-3.110207
0,0,0,2,2,0,4,0,0,0,1,0,2,0,0,-3.037557
1,0,2,1,0,0,4,0,0,0,0,0,0,1,2,-3.477717
1,0,1,2,0,0,4,0,0,0,0,0,1,0,2,-3.237797
1,0,0,0,3,1,3,0,0,0,0,0,2,1,0,-3.138977
0,0,1,2,1,1,3,0,0,0,0,0,1,0,2,-3.083187
1,0,1,2,0,1,3,0,0,0,0,0,1,0,2,-3.231597
1,0,3,0,0,1,3,0,0,0,0,0,0,2,1,-3.458207
2,0,1,0,1,0,3,1,0,0,1,0,0,1,1,-3.450587
2,0,1,0,1,0,3,1,0,0,0,0,1,1,1,-3.471157
0,0,1,0,3,2,2,0,0,0,0,0,0,2,1,-3.091127
1,1,0,0,2,1,2,1,0,0,0,0,0,2,1,-3.1003194
1,0,0,1,2,0,2,2,0,0,0,0,0,2,1,-3.053177
1,0,0,1,2,0,2,1,1,0,2,0,0,0,1,-3.053367
1,1,0,0,2,0,2,0,2,0,1,0,1,1,0,-3.072477
1,0,1,0,2,0,2,0,2,0,0,1,1,1,0,-3.087377
1,0,0,1,2,2,1,1,0,0,1,1,1,0,0,-3.052067
1,0,0,1,2,2,1,1,0,0,1,1,0,1,0,-3.056477
0,2,1,0,1,2,1,0,1,0,0,0,1,2,0,-3.297677
0,2,1,0,1,2,1,0,1,0,0,0,1,0,2,-3.535677
0,0,3,0,1,2,1,1,0,0,0,1,0,2,0,-3.349067
0,0,2,1,1,2,1,0,1,0,2,1,0,0,0,-3.080597
2,0,0,0,2,0,0,4,0,0,0,2,0,1,0,-3.085147
2,1,0,0,1,0,0,4,0,0,0,1,0,2,0,-3.126627
0,2,0,2,0,0,0,4,0,0,1,0,0,0,2,-3.120997
2,1,0,1,0,0,0,4,0,0,0,1,0,0,2,-3.120377
2,0,0,2,0,0,0,4,0,0,0,2,0,0,1,-3.131157
0,1,0,2,1,0,0,4,0,0,2,1,0,0,0,-3.075977
0,0,0,2,2,0,1,3,0,0,1,1,1,0,0,-3.033667
0,1,1,0,2,0,1,3,0,0,1,0,0,2,0,-3.053937
2,0,0,1,1,0,1,3,0,0,1,0,0,2,0,-3.127807
2,0,0,1,1,0,1,3,0,0,1,0,0,0,2,-3.138297
1,2,0,0,1,0,1,3,0,0,1,0,0,1,1,-3.127957
1,1,0,1,1,0,1,3,0,0,1,1,0,1,0,-3.131777
1,0,0,0,3,0,2,2,0,0,2,0,0,1,0,-3.056607
1,0,1,0,2,1,1,2,0,0,0,1,1,1,0,-3.063167
0,1,0,1,2,2,0,2,0,0,1,0,1,0,1,-3.062397
0,2,0,0,2,1,0,2,1,0,0,0,0,2,1,-3.060557
0,1,0,0,3,0,0,2,2,0,3,0,0,0,0,-3.035697
3,0,0,0,1,0,0,2,0,2,0,1,0,2,0,-3.162737
1,0,0,0,3,0,3,1,0,0,0,0,0,3,0,-3.118937
